"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Jun 08 10:21:08 UTC 2026","Mon Jun 08 10:21:08 UTC 2026","1","testcases","test_member","TestMember","","","test_member_deposit_get[\u67e5\u8be2\u5b58\u6b3e-\u6b63\u5e38\u53c2\u6570]",""
"skipped","Mon Jun 08 10:21:08 UTC 2026","Mon Jun 08 10:21:08 UTC 2026","0","testcases","test_member","TestMember","","","test_member_consume_get[\u67e5\u8be2\u6d88\u8d39-\u6b63\u5e38\u53c2\u6570]",""
"passed","Mon Jun 08 10:21:08 UTC 2026","Mon Jun 08 10:21:08 UTC 2026","565","testcases","test_member","TestMember","","","test_wx_pay_token",""
"passed","Mon Jun 08 10:21:07 UTC 2026","Mon Jun 08 10:21:07 UTC 2026","233","testcases","test_member","TestMember","","","test_member_tag_get",""
"passed","Mon Jun 08 10:21:03 UTC 2026","Mon Jun 08 10:21:04 UTC 2026","231","testcases","test_activity","TestActivity","","","test_check_activity_condition",""
"passed","Mon Jun 08 10:21:03 UTC 2026","Mon Jun 08 10:21:03 UTC 2026","244","testcases","test_activity","TestActivity","","","test_get_activity_prize_details",""
"passed","Mon Jun 08 10:21:08 UTC 2026","Mon Jun 08 10:21:09 UTC 2026","229","testcases","test_member","TestMember","","","test_member_rule_get",""
"passed","Mon Jun 08 10:21:07 UTC 2026","Mon Jun 08 10:21:07 UTC 2026","233","testcases","test_member","TestMember","","","test_member_update[\u66f4\u65b0\u6027\u522b-\u7537\u6027]",""
"skipped","Mon Jun 08 10:21:04 UTC 2026","Mon Jun 08 10:21:04 UTC 2026","0","testcases","test_activity","TestActivity","","","test_join_activity",""
"passed","Mon Jun 08 10:21:03 UTC 2026","Mon Jun 08 10:21:03 UTC 2026","234","testcases","test_activity","TestActivity","","","test_get_activity_times",""
"passed","Mon Jun 08 10:21:02 UTC 2026","Mon Jun 08 10:21:03 UTC 2026","242","testcases","test_activity","TestActivity","","","test_get_activity_detail",""
"passed","Mon Jun 08 10:21:05 UTC 2026","Mon Jun 08 10:21:06 UTC 2026","403","testcases","test_marketing","TestMarketing","","","test_submit_questionnaire[\u63d0\u4ea4\u95ee\u5377-Success]",""
"passed","Mon Jun 08 10:21:04 UTC 2026","Mon Jun 08 10:21:05 UTC 2026","1210","testcases","test_coupon","TestCoupon","","","test_coupon_list[coupon_list-\u6b63\u5e38\u8bf7\u6c42]",""
"passed","Mon Jun 08 10:21:07 UTC 2026","Mon Jun 08 10:21:07 UTC 2026","247","testcases","test_member","TestMember","","","test_check_birthday_get",""
"passed","Mon Jun 08 10:21:06 UTC 2026","Mon Jun 08 10:21:07 UTC 2026","231","testcases","test_member","TestMember","","","test_member_info_get",""
"passed","Mon Jun 08 10:21:03 UTC 2026","Mon Jun 08 10:21:03 UTC 2026","234","testcases","test_activity","TestActivity","","","test_record_activity_visit",""
"passed","Mon Jun 08 10:21:05 UTC 2026","Mon Jun 08 10:21:05 UTC 2026","574","testcases","test_marketing","TestMarketing","","","test_get_questionnaire_detail",""
"passed","Mon Jun 08 10:21:07 UTC 2026","Mon Jun 08 10:21:08 UTC 2026","378","testcases","test_member","TestMember","","","test_member_lmcard_get",""
"passed","Mon Jun 08 10:21:07 UTC 2026","Mon Jun 08 10:21:07 UTC 2026","237","testcases","test_member","TestMember","","","test_member_update[\u66f4\u65b0\u540d\u79f0-\u6b63\u5e38]",""
"passed","Mon Jun 08 10:21:09 UTC 2026","Mon Jun 08 10:21:09 UTC 2026","230","testcases","test_member","TestMember","","","test_member_check_tag",""
"passed","Mon Jun 08 10:21:06 UTC 2026","Mon Jun 08 10:21:06 UTC 2026","410","testcases","test_marketing","TestMarketing","","","test_get_questionnaire_result",""
